rule,ticker,direction,trade_date,entry_time,exit_time,option_ticker,strike,expiry_date,option_type,target_delta,option_entry_price,option_exit_price,num_contracts,premium_paid,pnl,pnl_pct,exit_reason,budget,entry_hm,exit_hm,commission
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-01-04,2021-01-04 09:31:00-05:00,2021-01-04 09:48:00-05:00,O:QQQ210108P00315000,315.0,2021-01-08,PUT,0.55,3.5728,3.6938,295,103840.0,3243.53,0.033853,time_exit_0950,104000,09:31,09:55,324.5
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-01-04,2021-01-04 09:31:00-05:00,2021-01-04 09:40:00-05:00,O:SPY210104P00374000,374.0,2021-01-04,PUT,0.6,0.4567,1.03,2200,99000.0,123695.0,1.255063,profit_target_50,99000,09:31,09:40,2420.0
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-01-08,2021-01-08 09:31:00-05:00,2021-01-08 09:50:00-05:00,O:QQQ210108P00318000,318.0,2021-01-08,PUT,0.55,1.1774,1.6055,896,103936.0,37376.64,0.36364,time_exit_0950,104000,09:31,10:00,985.6
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-01-08,2021-01-08 09:31:00-05:00,2021-01-08 09:50:00-05:00,O:SPY210108P00380000,380.0,2021-01-08,PUT,0.6,0.609,0.8077,1650,99000.0,30970.5,0.326273,time_exit_0950,99000,09:31,10:10,1815.0
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-01-14,2021-01-14 09:31:00-05:00,2021-01-14 09:50:00-05:00,O:QQQ210115P00317000,317.0,2021-01-15,PUT,0.55,2.03,1.8518,520,104000.0,-9838.4,-0.087783,time_exit_0950,104000,09:31,10:00,572.0
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-01-21,2021-01-21 09:31:00-05:00,2021-01-21 09:50:00-05:00,O:SPY210122P00383000,383.0,2021-01-22,PUT,0.6,0.9744,1.1623,1031,98976.0,18238.39,0.192837,time_exit_0950,99000,09:31,10:10,1134.1
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-01-26,2021-01-26 09:31:00-05:00,2021-01-26 09:50:00-05:00,O:QQQ210129P00329000,329.0,2021-01-29,PUT,0.55,3.2683,3.6839,322,103684.0,13028.12,0.127161,time_exit_0950,104000,09:31,09:45,354.2
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-01-26,2021-01-26 09:31:00-05:00,2021-01-26 10:10:00-05:00,O:SPY210127P00386000,386.0,2021-01-27,PUT,0.6,1.7255,2.49,582,98940.0,43853.7,0.44306,profit_target_50,99000,09:31,10:10,640.2
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-02-02,2021-02-02 09:31:00-05:00,2021-02-02 09:50:00-05:00,O:SPY210203P00381000,381.0,2021-02-03,PUT,0.6,2.6288,2.1768,382,98938.0,-17686.6,-0.171938,time_exit_0950,99000,09:31,10:10,420.2
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-02-05,2021-02-05 09:31:00-05:00,2021-02-05 09:50:00-05:00,O:SPY210205P00389000,389.0,2021-02-05,PUT,0.6,1.5123,1.5169,664,98936.0,-428.28,0.003009,time_exit_0950,99000,09:31,10:10,730.4
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-02-09,2021-02-09 09:31:00-05:00,2021-02-09 09:50:00-05:00,O:SPY210210P00391000,391.0,2021-02-10,PUT,0.6,2.0604,1.8912,487,98861.0,-8778.17,-0.082142,time_exit_0950,99000,09:31,10:10,535.7
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-02-16,2021-02-16 09:31:00-05:00,2021-02-16 09:50:00-05:00,O:QQQ210219P00338000,338.0,2021-02-19,PUT,0.55,2.842,2.6694,371,103880.0,-6813.41,-0.060749,time_exit_0950,104000,09:31,09:55,408.1
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-02-16,2021-02-16 09:31:00-05:00,2021-02-16 09:50:00-05:00,O:SPY210216P00395000,395.0,2021-02-16,PUT,0.6,1.5326,1.4479,655,98905.0,-6268.35,-0.055264,time_exit_0950,99000,09:31,10:10,720.5
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-02-19,2021-02-19 09:31:00-05:00,2021-02-19 09:50:00-05:00,O:SPY210219P00392000,392.0,2021-02-19,PUT,0.6,1.289,1.2805,779,98933.0,-1522.94,-0.006633,time_exit_0950,99000,09:31,10:10,856.9
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-02-24,2021-02-24 09:31:00-05:00,2021-02-24 09:50:00-05:00,O:QQQ210226P00319000,319.0,2021-02-26,PUT,0.55,3.9889,3.5558,264,103752.0,-11724.24,-0.108575,time_exit_0950,104000,09:31,10:00,290.4
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-02-24,2021-02-24 09:31:00-05:00,2021-02-24 10:05:00-05:00,O:SPY210224P00387000,387.0,2021-02-24,PUT,0.6,1.5225,2.16,660,99000.0,41349.0,0.418719,profit_target_50,99000,09:31,10:05,726.0
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-02-25,2021-02-25 09:31:00-05:00,2021-02-25 09:50:00-05:00,O:QQQ210226P00322500,322.5,2021-02-26,PUT,0.55,2.71,2.3739,389,103863.0,-13506.08,-0.124057,time_exit_0950,104000,09:31,10:00,427.9
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-02-25,2021-02-25 09:31:00-05:00,2021-02-25 10:05:00-05:00,O:SPY210226P00392000,392.0,2021-02-26,PUT,0.6,2.4563,3.01,409,98978.0,22196.43,0.22542,profit_target_50,99000,09:31,10:05,449.9
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-03-02,2021-03-02 09:31:00-05:00,2021-03-02 09:50:00-05:00,O:QQQ210305P00324000,324.0,2021-03-05,PUT,0.55,3.1769,4.531,332,103916.0,44589.26,0.426211,time_exit_0950,104000,09:31,09:55,365.2
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-03-02,2021-03-02 09:31:00-05:00,2021-03-02 09:50:00-05:00,O:SPY210303P00390000,390.0,2021-03-03,PUT,0.6,2.0198,2.9845,497,98903.0,47398.89,0.47761,time_exit_0950,99000,09:31,10:10,546.7
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-03-15,2021-03-15 09:31:00-04:00,2021-03-15 09:50:00-04:00,O:SPY210315P00395000,395.0,2021-03-15,PUT,0.6,1.3195,1.5268,761,98930.0,14934.63,0.157067,time_exit_0950,99000,09:31,10:10,837.1
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-03-18,2021-03-18 09:31:00-04:00,2021-03-18 09:50:00-04:00,O:QQQ210319P00318000,318.0,2021-03-19,PUT,0.55,3.1059,3.5953,339,103734.0,16216.07,0.157555,time_exit_0950,104000,09:31,10:00,372.9
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-03-18,2021-03-18 09:31:00-04:00,2021-03-18 09:50:00-04:00,O:SPY210319P00396000,396.0,2021-03-19,PUT,0.6,3.1871,3.6642,315,98910.0,14682.15,0.149697,time_exit_0950,99000,09:31,10:10,346.5
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-03-26,2021-03-26 09:31:00-04:00,2021-03-26 09:50:00-04:00,O:SPY210326P00393000,393.0,2021-03-26,PUT,0.6,2.2736,2.1178,441,98784.0,-7358.09,-0.068548,time_exit_0950,99000,09:31,10:10,485.1
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-03-29,2021-03-29 09:31:00-04:00,2021-03-29 09:49:00-04:00,O:QQQ210331P00317000,317.0,2021-03-31,PUT,0.55,3.8671,4.0188,272,103632.0,3825.68,0.039215,time_exit_0950,104000,09:31,10:00,299.2
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-03-29,2021-03-29 09:31:00-04:00,2021-03-29 09:50:00-04:00,O:SPY210329P00395000,395.0,2021-03-29,PUT,0.6,1.3804,1.2312,727,98872.0,-11642.91,-0.108048,time_exit_0950,99000,09:31,10:10,799.7
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-03-30,2021-03-30 09:31:00-04:00,2021-03-30 09:50:00-04:00,O:SPY210331P00395000,395.0,2021-03-31,PUT,0.6,2.2228,2.7679,452,98988.0,24136.8,0.245181,time_exit_0950,99000,09:31,10:10,497.2
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-04-05,2021-04-05 09:31:00-04:00,2021-04-05 09:50:00-04:00,O:SPY210405P00405000,405.0,2021-04-05,PUT,0.6,1.6646,1.1524,603,98892.0,-31545.94,-0.307672,time_exit_0950,99000,09:31,10:10,663.3
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-04-08,2021-04-08 09:31:00-04:00,2021-04-08 09:50:00-04:00,O:SPY210409P00408000,408.0,2021-04-09,PUT,0.6,1.4108,1.7336,712,98968.0,22196.6,0.228763,time_exit_0950,99000,09:31,10:10,783.2
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-04-09,2021-04-09 09:31:00-04:00,2021-04-09 09:50:00-04:00,O:SPY210409P00407500,407.5,2021-04-09,PUT,0.6,0.5176,0.3743,1941,98991.0,-29959.33,-0.276925,time_exit_0950,99000,09:31,10:10,2135.1
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-04-12,2021-04-12 09:31:00-04:00,2021-04-12 09:50:00-04:00,O:QQQ210416P00337000,337.0,2021-04-16,PUT,0.55,3.5423,3.8908,297,103653.0,10020.78,0.098353,time_exit_0950,104000,09:31,10:00,326.7
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-04-12,2021-04-12 09:31:00-04:00,2021-04-12 09:50:00-04:00,O:SPY210412P00412000,412.0,2021-04-12,PUT,0.6,1.4413,1.6646,697,98974.0,14800.8,0.154964,time_exit_0950,99000,09:31,10:10,766.7
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-04-16,2021-04-16 09:31:00-04:00,2021-04-16 10:00:00-04:00,O:SPY210416P00416000,416.0,2021-04-16,PUT,0.6,0.5988,0.91,1677,98943.0,50335.16,0.519579,profit_target_50,99000,09:31,10:00,1844.7
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-04-19,2021-04-19 09:31:00-04:00,2021-04-19 09:50:00-04:00,O:QQQ210423P00342000,342.0,2021-04-23,PUT,0.55,3.3495,3.3392,315,103950.0,-672.52,-0.00309,time_exit_0950,104000,09:31,10:00,346.5
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-04-22,2021-04-22 09:31:00-04:00,2021-04-22 09:50:00-04:00,O:QQQ210423P00339000,339.0,2021-04-23,PUT,0.55,1.7255,2.0291,611,103870.0,17877.86,0.175949,time_exit_0950,104000,09:31,10:00,672.1
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-04-27,2021-04-27 09:31:00-04:00,2021-04-27 09:49:00-04:00,O:QQQ210430P00342500,342.5,2021-04-30,PUT,0.55,3.4104,3.9498,309,103824.0,16329.1,0.158178,time_exit_0950,104000,09:31,10:00,339.9
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-05-05,2021-05-05 09:31:00-04:00,2021-05-05 10:00:00-04:00,O:SPY210505P00416000,416.0,2021-05-05,PUT,0.6,0.4669,0.75,2152,98992.0,58555.92,0.60634,profit_target_50,99000,09:31,10:00,2367.2
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-05-12,2021-05-12 09:31:00-04:00,2021-05-12 09:50:00-04:00,O:SPY210512P00413000,413.0,2021-05-12,PUT,0.6,2.4867,2.4133,404,98980.0,-3413.8,-0.029557,time_exit_0950,99000,09:31,10:10,444.4
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-05-17,2021-05-17 09:31:00-04:00,2021-05-17 09:50:00-04:00,O:SPY210517P00416000,416.0,2021-05-17,PUT,0.6,1.3499,1.6252,744,98952.0,19663.92,0.203933,time_exit_0950,99000,09:31,10:10,818.4
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-05-21,2021-05-21 09:31:00-04:00,2021-05-21 09:50:00-04:00,O:QQQ210521P00331000,331.0,2021-05-21,PUT,0.55,1.3702,1.9503,770,103950.0,43816.85,0.423317,time_exit_0950,104000,09:31,10:00,847.0
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-05-25,2021-05-25 09:31:00-04:00,2021-05-25 09:50:00-04:00,O:QQQ210526P00334000,334.0,2021-05-26,PUT,0.55,1.3804,1.8518,764,103904.0,35174.56,0.341495,time_exit_0950,104000,09:31,09:55,840.4
