rule,ticker,direction,trade_date,entry_time,exit_time,option_ticker,strike,expiry_date,option_type,target_delta,option_entry_price,option_exit_price,num_contracts,premium_paid,pnl,pnl_pct,exit_reason,budget
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-01-04,2021-01-04 09:31:00-05:00,2021-01-04 09:40:00-05:00,O:SPY210104P00376000,376.0,2021-01-04,PUT,0.7,1.72,2.58,575,98900.0,46977.50000000001,0.4750000000000001,profit_target_50,99000
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-01-04,2021-01-04 09:31:00-05:00,2021-01-04 09:55:00-05:00,O:QQQ210108P00317000,317.0,2021-01-08,PUT,0.7,4.56,4.94,228,103967.99999999999,6498.000000000004,0.06250000000000004,optimal_exit_1000,104000
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-01-08,2021-01-08 09:31:00-05:00,2021-01-08 10:10:00-05:00,O:SPY210108P00382000,382.0,2021-01-08,PUT,0.7,1.78,1.65,556,98968.0,-9135.080000000007,-0.09230337078651693,optimal_exit_1010,99000
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-01-08,2021-01-08 09:31:00-05:00,2021-01-08 10:00:00-05:00,O:QQQ210108P00319000,319.0,2021-01-08,PUT,0.7,2.08,1.54,500,104000.0,-28810.000000000004,-0.2770192307692308,optimal_exit_1000,104000
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-01-14,2021-01-14 09:31:00-05:00,2021-01-14 10:00:00-05:00,O:QQQ210115P00318000,318.0,2021-01-15,PUT,0.7,2.5,2.28,416,104000.0,-11140.48000000001,-0.1071200000000001,optimal_exit_1000,104000
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-01-21,2021-01-21 09:31:00-05:00,2021-01-21 10:10:00-05:00,O:SPY210122P00385000,385.0,2021-01-22,PUT,0.7,1.98,1.73,500,99000.0,-14355.000000000007,-0.14500000000000007,optimal_exit_1010,99000
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-01-26,2021-01-26 09:31:00-05:00,2021-01-26 10:10:00-05:00,O:SPY210127P00387000,387.0,2021-01-27,PUT,0.7,2.33,3.495,424,98792.0,46926.20000000002,0.4750000000000002,profit_target_50,99000
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-01-26,2021-01-26 09:31:00-05:00,2021-01-26 09:45:00-05:00,O:QQQ210129P00332000,332.0,2021-01-29,PUT,0.7,5.01,5.61,207,103707.0,10221.660000000005,0.09856287425149705,optimal_exit_1000,104000
PriorDayWeak_30min_QQQ,QQQ,long,2021-01-28,2021-01-28 09:31:00-05:00,2021-01-28 12:00:00-05:00,O:QQQ210129C00321000,321.0,2021-01-29,CALL,0.5,3.4,4.86,76,25839.999999999996,10468.240000000002,0.40511764705882364,profit_target_50,26000
PriorDayWeak_30min_QQQ,QQQ,long,2021-01-29,2021-01-29 09:31:00-05:00,2021-01-29 15:20:00-05:00,O:QQQ210129C00320000,320.0,2021-01-29,CALL,0.5,2.03,0.05,128,25983.999999999996,-25610.239999999998,-0.9856157635467981,optimal_exit_1520,26000
HighVolWR_30min_SPY_filtered,SPY,long,2021-02-01,2021-02-01 09:31:00-05:00,2021-02-01 14:45:00-05:00,O:SPY210201C00379000,379.0,2021-02-01,CALL,0.1,0.15,0.08,2333,34995.0,-16867.59,-0.482,optimal_exit_1445,35000
PriorDayWeak_30min_QQQ,QQQ,long,2021-02-01,2021-02-01 09:31:00-05:00,2021-02-01 15:20:00-05:00,O:QQQ210205C00319000,319.0,2021-02-05,CALL,0.5,4.9,6.43,53,25970.000000000004,7508.509999999993,0.28912244897959155,optimal_exit_1520,26000
PriorDayWeak_50Hi_SPY_filtered,SPY,long,2021-02-01,2021-02-01 13:21:00-05:00,2021-02-01 15:05:00-05:00,O:SPY210201C00377000,377.0,2021-02-01,CALL,0.5,0.6,0.65,800,48000.0,2999.999999999998,0.062499999999999965,optimal_exit_1505,48000
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-02-02,2021-02-02 09:31:00-05:00,2021-02-02 10:10:00-05:00,O:SPY210203P00382000,382.0,2021-02-03,PUT,0.7,3.31,2.3,299,98969.0,-31876.390000000014,-0.3220845921450152,optimal_exit_1010,99000
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-02-05,2021-02-05 09:31:00-05:00,2021-02-05 10:10:00-05:00,O:SPY210205P00390000,390.0,2021-02-05,PUT,0.7,2.2,3.2,449,98780.0,42475.399999999994,0.42999999999999994,optimal_exit_1010,99000
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-02-09,2021-02-09 09:31:00-05:00,2021-02-09 10:10:00-05:00,O:SPY210210P00392000,392.0,2021-02-10,PUT,0.7,2.82,2.32,351,98982.0,-19354.140000000003,-0.19553191489361704,optimal_exit_1010,99000
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-02-16,2021-02-16 09:31:00-05:00,2021-02-16 10:10:00-05:00,O:SPY210216P00396000,396.0,2021-02-16,PUT,0.7,2.35,3.0,421,98935.0,25112.64999999999,0.2538297872340425,optimal_exit_1010,99000
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-02-16,2021-02-16 09:31:00-05:00,2021-02-16 09:55:00-05:00,O:QQQ210219P00341000,341.0,2021-02-19,PUT,0.7,4.87,4.35,213,103731.0,-13039.86000000001,-0.12570841889117051,optimal_exit_1000,104000
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-02-19,2021-02-19 09:31:00-05:00,2021-02-19 10:10:00-05:00,O:SPY210219P00394000,394.0,2021-02-19,PUT,0.7,2.48,2.6,399,98952.0,2761.079999999997,0.027903225806451586,optimal_exit_1010,99000
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-02-24,2021-02-24 09:31:00-05:00,2021-02-24 10:05:00-05:00,O:SPY210224P00389000,389.0,2021-02-24,PUT,0.7,2.73,3.84,362,98826.0,37803.65999999999,0.38252747252747243,profit_target_50,99000
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-02-24,2021-02-24 09:31:00-05:00,2021-02-24 10:00:00-05:00,O:QQQ210226P00322000,322.0,2021-02-26,PUT,0.7,5.41,6.5,192,103872.0,18641.279999999988,0.17946395563770784,optimal_exit_1000,104000
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-02-25,2021-02-25 09:31:00-05:00,2021-02-25 10:05:00-05:00,O:SPY210226P00393000,393.0,2021-02-26,PUT,0.7,3.23,4.065,306,98838.0,23318.729999999996,0.2359287925696594,profit_target_50,99000
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-02-25,2021-02-25 09:31:00-05:00,2021-02-25 10:00:00-05:00,O:QQQ210226P00325000,325.0,2021-02-26,PUT,0.7,4.37,4.55,237,103569.0,2151.9599999999946,0.02077803203661322,optimal_exit_1000,104000
HighVolWR_30min_SPY_filtered,SPY,long,2021-02-26,2021-02-26 09:31:00-05:00,2021-02-26 09:45:00-05:00,O:SPY210226C00389000,389.0,2021-02-26,CALL,0.1,0.25,0.3,1400,35000.0,6229.999999999997,0.1779999999999999,profit_target_50,35000
PriorDayWeak_30min_QQQ,QQQ,long,2021-02-26,2021-02-26 09:31:00-05:00,2021-02-26 12:10:00-05:00,O:QQQ210226C00316000,316.0,2021-02-26,CALL,0.5,2.3,3.33,113,25989.999999999996,11002.81,0.42334782608695654,profit_target_50,26000
GapLarge_First30min_SPY,SPY,long,2021-03-01,2021-03-01 09:31:00-05:00,2021-03-01 10:00:00-05:00,O:SPY210301C00387000,387.0,2021-03-01,CALL,0.5,0.99,1.485,323,31977.0,15189.075000000003,0.4750000000000001,profit_target_50,32000
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-03-02,2021-03-02 09:31:00-05:00,2021-03-02 10:10:00-05:00,O:SPY210303P00391000,391.0,2021-03-03,PUT,0.7,2.69,3.15,368,98992.0,14778.880000000006,0.14929368029739784,optimal_exit_1010,99000
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-03-02,2021-03-02 09:31:00-05:00,2021-03-02 09:55:00-05:00,O:QQQ210305P00327000,327.0,2021-03-05,PUT,0.7,5.19,5.65,200,103800.0,7032.000000000008,0.06774566473988447,optimal_exit_1000,104000
PriorDayWeak_30min_SPY_filtered,SPY,long,2021-03-03,2021-03-03 09:31:00-05:00,2021-03-03 15:05:00-05:00,O:SPY210303C00387000,387.0,2021-03-03,CALL,0.5,1.39,0.07,208,28912.0,-27759.680000000004,-0.9601438848920865,optimal_exit_1505,29000
PriorDayWeak_30min_QQQ,QQQ,long,2021-03-03,2021-03-03 09:31:00-05:00,2021-03-03 15:20:00-05:00,O:QQQ210305C00318000,318.0,2021-03-05,CALL,0.5,3.3,0.78,78,25739.999999999996,-19974.239999999998,-0.776,optimal_exit_1520,26000
PriorDayWeak_30min_QQQ,QQQ,long,2021-03-04,2021-03-04 09:31:00-05:00,2021-03-04 15:20:00-05:00,O:QQQ210305C00311000,311.0,2021-03-05,CALL,0.5,3.2,0.45,81,25920.0,-22570.65,-0.8707812500000001,optimal_exit_1520,26000
PriorDayWeak_30min_SPY_filtered,SPY,long,2021-03-04,2021-03-04 09:46:00-05:00,2021-03-04 12:05:00-05:00,O:SPY210305C00381000,381.0,2021-03-05,CALL,0.5,4.09,4.605,70,28630.0,2996.350000000005,0.10465770171149161,profit_target_50,29000
HighVolWR_30min_SPY_filtered,SPY,long,2021-03-05,2021-03-05 09:31:00-05:00,2021-03-05 14:45:00-05:00,O:SPY210305C00385000,385.0,2021-03-05,CALL,0.1,0.34,0.26,1029,34986.0,-8849.400000000003,-0.25294117647058834,optimal_exit_1445,35000
HighVolWR_30min_SPY_filtered,SPY,long,2021-03-08,2021-03-08 09:31:00-05:00,2021-03-08 09:40:00-05:00,O:SPY210308C00389000,389.0,2021-03-08,CALL,0.1,0.27,0.27,1296,34992.0,-699.8399999999949,-0.019999999999999855,profit_target_50,35000
