rule,ticker,direction,entry_time,exit_time,underlying_entry_price,underlying_exit_price,equity_pnl_pct,option_ticker,strike,expiry_date,option_type,target_delta,actual_delta,option_entry_price,option_exit_price,num_contracts,premium_paid,pnl,pnl_pct,max_loss,iv_estimate,tte_at_entry,bars_held,exit_reason,status
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-01-04 09:31:00-05:00,2021-01-04 14:05:00-05:00,374.50254600000005,367.596756,0.0184131992523225,O:SPY210104P00376000,376.0,2021-01-04,PUT,0.7,0.7215460947402168,1.72,7.62,436,74992.0,253167.76,3.3759302325581397,74992.0,0.10259262609170482,0.003958078958078958,55,time_exit,ok
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-01-04 09:31:00-05:00,2021-01-04 14:05:00-05:00,314.348562,308.140811,0.0197161741748321,O:QQQ210108P00317000,317.0,2021-01-08,PUT,0.7,0.7180491202512126,4.56,9.03,164,74783.99999999999,71079.23999999998,0.9504605263157894,74783.99999999999,0.12690831797108082,0.011337868480725623,55,time_exit,ok
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-01-06 09:36:00-05:00,2021-01-06 14:10:00-05:00,307.519245,311.281125,-0.0122655087814096,O:QQQ210108P00309000,309.0,2021-01-08,PUT,0.7,0.6670321865635098,3.75,1.3,200,75000.0,-50010.0,-0.6668,75000.0,0.1382605549024143,0.005668934240362812,55,time_exit,ok
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-01-08 09:31:00-05:00,2021-01-08 14:05:00-05:00,380.631933,378.957892,0.0043717850651274,O:SPY210108P00382000,382.0,2021-01-08,PUT,0.7,0.6902588431505299,1.78,3.1,421,74938.0,53517.51999999999,0.7141573033707864,74938.0,0.10839316077810981,0.003958078958078958,55,time_exit,ok
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-01-08 09:31:00-05:00,2021-01-08 14:05:00-05:00,317.348262,316.961693,0.0011866111937299,O:QQQ210108P00319000,319.0,2021-01-08,PUT,0.7,0.7139501293665351,2.08,2.24,360,74880.0,4204.8,0.05615384615384616,74880.0,0.13995312759648532,0.003958078958078958,55,time_exit,ok
PriorDayStrong_AboveOR_SPY_short,SPY,short,2021-01-11 09:51:00-05:00,2021-01-11 14:25:00-05:00,378.50324589,378.717868,-0.0005934483057652,O:SPY210111P00380000,380.0,2021-01-11,PUT,0.7,0.7069760809110888,1.97,1.48,380,74860.0,-19930.999999999996,-0.266243654822335,74860.0,0.11249817477436148,0.0037545787545787547,55,time_exit,ok
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-01-11 09:51:00-05:00,2021-01-11 14:25:00-05:00,315.198477,314.86148299999996,0.0010374225253634,O:QQQ210115P00318000,318.0,2021-01-15,PUT,0.7,0.692946517884295,5.17,5.0,145,74965.0,-3939.650000000001,-0.05255319148936172,74965.0,0.15284711872903065,0.011337868480725623,55,time_exit,ok
PriorDayWeak_30min_QQQ,QQQ,long,2021-01-12 09:31:00-05:00,2021-01-12 14:05:00-05:00,315.19151600000004,314.278569,-0.0029282101615959,O:QQQ210115C00315000,315.0,2021-01-15,CALL,0.5,0.5308496383542606,2.98,2.37,167,49766.0,-11080.449999999992,-0.22265100671140922,49766.0,0.15263799409768006,0.008503401360544217,55,time_exit,ok
PriorDayStrong_AboveOR_QQQ_short,QQQ,short,2021-01-14 09:31:00-05:00,2021-01-14 14:05:00-05:00,316.69462737,315.83158000000003,0.0026935959636704,O:QQQ210115P00318000,318.0,2021-01-15,PUT,0.7,0.68870196753738,2.25,2.77,333,74925.0,15644.340000000007,0.2088000000000001,74925.0,0.15088140294904426,0.002834467120181406,55,time_exit,ok
PriorDayWeak_30min_SPY_filtered,SPY,long,2021-01-15 09:31:00-05:00,2021-01-15 14:05:00-05:00,377.227719,376.54224201,-0.0018436529315598,O:SPY210115C00377000,377.0,2021-01-15,CALL,0.5,0.5475619273525277,1.2,0.53,416,49920.0,-28591.679999999997,-0.57275,49920.0,0.10702137287760918,0.003958078958078958,55,time_exit,ok
