condition,timeframe,ticker,n_occurrences,peak_bar,mean_pnl_at_peak,median_pnl_at_peak,mean_median_divergence,win_rate_at_peak,curve_sharpe,avg_mfe,avg_mae,mae_90pct,t_stat,eod_mean_pnl
atr_squeeze,5m,SPY,19568,76,0.02051387155074433,0.02051387155074433,0.0,5.110384300899428e-05,0,0.0026944659303376793,-0.002724820768452396,-0.006829411897833227,0.0,
range_contraction_3bar,5m,QQQ,5006,77,0.00957676276920646,0.00957676276920646,0.0,0.00019976028765481422,0,0.0038725498019795534,-0.00405698874727937,-0.010247699232247432,1.1926008706771045,
range_contraction_3bar,15m,QQQ,1970,25,0.005528846738375332,0.00047562179006232434,0.91397450271843,0.0010152284263959391,0,0.003244744389408485,-0.003618642217912942,-0.00985478673708057,0.6977538392598527,
prior_bar_exhaustion_bearish,5m,QQQ,2144,77,0.005107327494805133,0.004847283042771896,0.050915954047931734,0.0037313432835820895,0,0.004560815364168392,-0.004560251858103822,-0.013030872063459868,1.873420517329379,
prior_bar_exhaustion_bearish,15m,QQQ,1050,25,0.004123790449697525,0.002003527563919899,0.5141538862463647,0.007619047619047619,0,0.004561175069420889,-0.005306564694316574,-0.013952254878934587,1.6023646296740144,
prior_bar_conviction_bullish,5m,QQQ,2066,77,0.004090356145452252,0.0029651145199843217,0.27509624723485226,0.005324298160696999,0,0.004391502546022661,-0.004090967426422547,-0.011422043811280933,1.429620831788791,
breakout_below_prior_week_low,5m,SPY,621,77,0.0028959705994556486,0.001877804771958096,0.3515801671774347,0.06602254428341385,0,0.004458831695769546,-0.004251153979093837,-0.010893178950818325,2.0678429393667086,
breakout_below_prior_week_low,5m,QQQ,635,77,0.00263816100156278,0.0027280479401793063,0.03407181690703476,0.06614173228346457,0,0.005855925041222549,-0.005630527774579034,-0.013619933428485494,1.553608811203935,
range_expansion_after_contraction,15m,QQQ,677,25,0.002604091098557144,0.0024342810048593923,0.06520896822382244,0.04874446085672083,0,0.0034534346541298462,-0.003007328974200715,-0.008732389290637584,1.624455502082476,
breakout_below_prior_week_low,15m,QQQ,424,25,0.0023635506225624216,0.0018051503722390705,0.23625482991261962,0.10141509433962265,0,0.005680690406212417,-0.004731219297327627,-0.012988803370317097,1.4244536684451568,
prior_bar_narrow_range,5m,QQQ,5660,77,0.002327054830060935,0.0033103845323482033,0.4225640451546726,0.011307420494699646,0,0.003822255614496783,-0.0037743260936809356,-0.009505764709257092,2.011584537212725,
prior_bar_exhaustion_bearish,15m,SPY,810,25,0.0022007636634706626,0.001534729075753837,0.30263794280684886,0.05185185185185185,0,0.0032647655732129517,-0.003655627324493942,-0.010219630924843588,2.2579584403942716,
breakout_below_prior_week_low,15m,SPY,407,25,0.002016163415837068,0.0015890278062749797,0.21185564930249,0.10073710073710074,0,0.004379035338807434,-0.003675042253130375,-0.01060550465356953,1.4294538060604216,
volume_dryup,15m,SPY,6687,23,0.0020149781455754668,0.0016532969507233734,0.1794963362983767,0.0014954389113204726,0,0.002685711836633183,-0.002618614177350181,-0.006876171372557655,1.9501461515885468,
prior_bar_conviction_bullish,5m,SPY,1741,77,0.0017111661783498222,0.002575192314041499,0.5049340891747334,0.0068925904652498565,0,0.0025724253678933813,-0.002389671396408792,-0.006757654778117243,1.167548554072105,
volume_surge_bullish,15m,SPY,952,24,0.0015851041152544147,0.0011817496745907628,0.25446558164976574,0.06197478991596639,0,0.0012634757961665342,-0.001202765719631187,-0.004586104358213019,1.8268071137184758,
range_expansion_after_contraction,5m,QQQ,1933,76,0.0015500601173930287,0.002514853352613911,0.6224231075911569,0.01758923952405587,0,0.0038967816901682357,-0.004068464606799256,-0.010360970413111542,1.102642870799784,
above_vwap,15m,QQQ,18536,25,0.001396801127614293,0.00121451217215504,0.13050458784393934,0.0017263703064307294,0,0.0032221969701381487,-0.0030035083160764296,-0.008713597776996493,0.9331748565767863,
5_consecutive_up,5m,QQQ,3218,76,0.0013712370632973036,0.0011901868277294442,0.13203423420637597,0.01740211311373524,0,0.003839943775958757,-0.0035520579838143438,-0.009252190940570072,1.0004922489442984,
prior_bar_exhaustion_bearish,5m,SPY,1853,71,0.001360474690894817,0.0015927865688720327,0.17075795641918085,0.0744738262277388,0,0.00265201446221937,-0.002819645383366746,-0.00821497170976474,2.8451285827370145,
volume_surge_bullish,15m,QQQ,937,25,0.0013496816156844406,0.0022747972733350675,0.6854325100823789,0.17395944503735325,0,0.003294291192090241,-0.0030756010626593316,-0.011293344572708171,2.07822845099968,
