condition,htf_factor,ticker,timeframe,n_base,n_htf1,n_htf0,base_t,base_pnl,htf1_t,htf1_pnl,htf1_wr,htf1_peak_bar,htf0_t,htf0_pnl,htf0_wr,pnl_delta,t_delta,htf1_mfe,htf1_mae
breakout_below_prior_day_low,gap_above_prior_day_range,SPY,15m,872,54,818,0.6935407990388951,0.0005033212249885848,22.272825729193396,0.005222848713338867,0.05555555555555555,22,0.6935407990388951,0.0005033212249885848,0.11735941320293398,0.0047195274883502815,21.5792849301545,0.0024029310281567834,-0.0022487318703036884
breakout_below_prior_day_low,above_prior_day_high,SPY,15m,872,54,818,0.6935407990388951,0.0005033212249885848,22.272825729193396,0.005222848713338867,0.05555555555555555,22,0.6935407990388951,0.0005033212249885848,0.11735941320293398,0.0047195274883502815,21.5792849301545,0.0024029310281567834,-0.0022487318703036884
5_consecutive_up,gap_up_large,SPY,5m,3247,158,3089,4.709580258675017,0.00046032438105890857,15.782979964405062,0.004457158218728941,0.0379746835443038,76,3.953246169761247,0.00040455902797396676,0.35998705082550986,0.004052599190754975,11.829733794643815,0.003938075894817675,-0.002801848167246439
breakout_below_prior_week_low,prior_day_close_near_high,QQQ,15m,424,59,365,1.4244536684451568,0.0023635506225624216,15.172061134553275,0.0014309073726403582,0.05084745762711865,25,1.3914015379509574,0.002400856352559304,0.1095890410958904,-0.0009699489799189459,13.780659596602318,0.002599488477872895,-0.004984119376635255
breakout_below_prior_day_low,gap_up_medium,QQQ,15m,853,61,792,0.6862708528031575,0.000638397231047084,13.669996645356242,0.03262954288234064,0.03278688524590164,25,0.31852179591216867,0.0002887672239291215,0.12626262626262627,0.03234077565841152,13.351474849444074,0.004997345441568684,-0.0035396003594144335
cross_above_vwap,prior_day_high_vol_wide_range,SPY,5m,5477,266,5211,1.1097031477052117,0.0008612861535721694,9.247238677628538,0.007305507975068281,0.007518796992481203,77,0.6367868455474489,0.0004930449066295339,0.003070427940894262,0.006812463068438746,8.610451832081088,0.008583882417506041,-0.006464243695679394
new_20bar_high,gap_down_medium,QQQ,15m,5317,281,5036,3.2442920237425046,0.0005324334254601767,8.864903607463914,0.0075115244564809905,0.0071174377224199285,25,3.3325348672918604,0.0005527457475465814,0.24106433677521844,0.006958778708934409,5.532368740172053,0.0021083603440182697,-0.003284413757865844
cross_above_vwap,gap_up_medium,SPY,5m,5477,605,4872,1.1097031477052117,0.0008612861535721694,7.300443566534646,0.005979750562814219,0.006611570247933884,77,2.4091957059807925,0.00043695809254668346,0.20402298850574713,0.005542792470267535,4.891247860553854,0.00391748490710335,-0.0039357800558509366
volume_dryup,gap_up_medium,SPY,15m,6687,869,5818,1.9501461515885468,0.0020149781455754668,6.4442603029103385,0.003087851945021357,0.0023014959723820483,22,1.9501461515885468,0.0020149781455754668,0.0017188037126160192,0.0010728737994458904,4.494114151321792,0.002680108829873923,-0.0030575210733025026
new_50bar_high,gap_down_medium,SPY,5m,10037,412,9625,4.118933260238405,0.0003160627760304763,6.399813706952054,0.005275533933686112,0.0048543689320388345,64,4.173402923471984,0.0003212908539940852,0.2781298701298701,0.004954243079692026,2.2264107834800706,0.0030862092715064878,-0.0026482891953109916
first_30_min,prior_day_high_vol_wide_range,SPY,5m,9030,469,8561,3.3344510837081462,0.0002675770546125546,6.030694921663367,0.0037153017264161675,0.6609808102345416,57,1.4135239793860814,0.00010776394619094405,0.5256395280925126,0.0036075377802252235,4.617170942277286,0.010253946046981847,-0.007835832350816542
above_or_high_30m,is_nr7,SPY,5m,34258,5464,28794,3.9435259775933647,0.00030877910799257166,5.996173546191419,0.0005899383856116861,0.2719619326500732,36,3.7152435773904897,0.00030449830401729007,0.09981246092936029,0.000285440081594396,2.2809299688009292,0.002512468151521246,-0.002290643214847442
first_30_min,prior_day_close_near_low,SPY,5m,9030,2100,6930,3.3344510837081462,0.0002675770546125546,5.924040194851702,0.0011902702305296704,0.5495238095238095,65,-0.04052528760739581,-5.626400309922697e-07,0.5177489177489177,0.0011908328705606628,5.964565482459097,0.006178692748432052,-0.005421222727533483
first_30_min,gap_up_large,SPY,5m,9030,308,8722,3.3344510837081462,0.0002675770546125546,5.911508514572994,0.0014408791059823385,0.698051948051948,8,2.943670581659518,0.00024050411804878044,0.5269433616143087,0.001200374987933558,2.9678379329134765,0.006824482833594718,-0.006559757706320958
cross_above_vwap,is_nr7,QQQ,15m,3212,472,2740,2.348895023076204,0.0006914575177160829,5.896587038313062,0.004302257408869009,0.00423728813559322,25,2.196149809694366,0.0007163162500985899,0.22189781021897811,0.003585941158770419,3.7004372286186964,0.003746559510581154,-0.0036102710292633547
atr_expansion,aligned_daily_weekly_up,SPY,15m,3341,268,3073,2.3190980687957667,0.00037619615786499514,5.43124749547745,0.0010955257099698177,0.48880597014925375,10,1.802236074343154,0.00031541677366611994,0.3143507972665148,0.0007801089363036978,3.629011421134296,0.002935966563310465,-0.0017235182926397476
first_30_min,prior_day_close_near_low,QQQ,5m,9030,2163,6867,2.90309388854596,0.00030491131573775863,5.414482111448432,0.0014179298345477964,0.5515487748497457,66,0.06839835446377175,2.3186582579459583e-05,0.07747196738022426,0.0013947432519683368,5.346083756984661,0.008233995710978768,-0.007402936658035488
volume_dryup,prior_day_close_near_low,SPY,5m,11662,2678,8984,1.133580189975017,0.00031641877778220307,5.288027313806042,0.000943385376850783,0.42419716206123975,48,0.4693611353010288,0.00014115974617328117,0.029162956366874444,0.0008022256306775019,4.818666178505013,0.004505715309086966,-0.004057449797852108
prior_bar_wide_range,prior_day_high_vol_wide_range,SPY,5m,11778,533,11245,3.0023890429517808,0.00036696906276421394,5.119888541204712,0.00565318232964738,0.19887429643527205,58,1.671401961105798,0.00019800109330623498,0.17029791018230325,0.005455181236341145,3.4484865800989137,0.006705367559167551,-0.004692152609762298
volume_dryup,prior_day_high_vol_wide_range,SPY,5m,11662,685,10977,1.133580189975017,0.00031641877778220307,5.012746279648295,0.0029296847288311947,0.5051094890510949,46,0.32895952988183735,0.0003571262770261098,0.0017308918648082355,0.002572558451805085,4.683786749766457,0.0075919712009051635,-0.0062010777136060945
new_50bar_high,prior_day_close_near_low,SPY,5m,10037,2050,7987,4.118933260238405,0.0003160627760304763,4.947878826086689,0.001383860341316954,0.1648780487804878,58,4.096171713872114,0.00017871752520764642,0.4188055590334293,0.0012051428161093077,0.8517071122145747,0.0034027411177629543,-0.0028070334400964107
new_50bar_high,prior_day_close_near_low,SPY,15m,3753,441,3312,2.5533432449684454,0.00026399507572423173,4.9073769308968425,0.001513051582513619,0.2766439909297052,13,1.446253185261807,0.0001559409538760384,0.2992149758454106,0.0013571106286375807,3.461123745635035,0.002630776953437769,-0.0013068781099813886
new_50bar_high,is_nr7,SPY,5m,10037,1653,8384,4.118933260238405,0.0003160627760304763,4.875930882731264,0.0007814312637139591,0.2964307320024198,45,2.2049560212694947,0.000248004366997947,0.19692270992366412,0.000533426896716012,2.6709748614617697,0.0026354424539769055,-0.0022615407013577673
new_50bar_high,is_nr7,SPY,15m,3753,729,3024,2.5533432449684454,0.00026399507572423173,4.845702966155429,0.000893086569966337,0.3347050754458162,14,3.4958213729156276,0.00014257815792139965,0.5003306878306878,0.0007505084120449373,1.3498815932398012,0.0022285686438321037,-0.0016282132693642016
above_or_high_30m,adx_trending,SPY,5m,34258,25165,9093,3.9435259775933647,0.00030877910799257166,4.840118946600554,0.00045725540978826246,0.10085436121597456,56,2.9420836116008973,9.067984297505538e-05,0.42395249092708676,0.0003665755668132071,1.8980353349996566,0.002608665219542854,-0.0024320126678564367
first_30_min,gap_up_large,QQQ,5m,9030,609,8421,2.90309388854596,0.00030491131573775863,4.678925971479975,0.0009055964591323924,0.6108374384236454,8,2.966903911972833,0.00031767595548238935,0.5314095713098207,0.000587920503650003,1.712022059507142,0.007375133177737508,-0.008058728656794465
prior_bar_exhaustion_bearish,gap_up_large,SPY,5m,1853,73,1780,2.8451285827370145,0.001360474690894817,4.662503229581482,0.00720153794702017,0.1095890410958904,75,2.267911263832801,0.0011157428252031938,0.07134831460674157,0.006085795121816976,2.3945919657486807,0.0036798702121196947,-0.005610152232354637
above_or_high_30m,gap_aligned_with_trend,QQQ,5m,32683,16259,16424,4.442058078737929,0.0004923533492333453,4.652214688876757,0.0008350338352606169,0.07497386063103512,59,0.9090516595692657,0.0003284166400602805,0.02325864588407209,0.0005066171952003364,3.7431630293074916,0.003287334997606673,-0.00291571858278025
volume_dryup,is_outside_day,QQQ,5m,10649,929,9720,3.929207708506453,0.00046562953056116516,4.623019085413689,0.0015082151299139308,0.34230355220667386,48,2.312068218125957,0.0003976687737566265,0.14979423868312758,0.0011105463561573042,2.310950867287732,0.0050503947874601775,-0.004167518954635762
above_or_high_30m,above_prior_day_high,QQQ,15m,6814,1591,5223,1.9082481438108463,0.0012823721780660378,4.622912500578914,0.0014568680067866004,0.12193588937774984,14,1.7935697773750903,0.0013634264973406366,0.014359563469270534,9.344150944596381e-05,2.8293427232038235,0.0022188865353611224,-0.0014395181273288787
above_or_high_30m,gap_above_prior_day_range,QQQ,15m,6814,1591,5223,1.9082481438108463,0.0012823721780660378,4.622912500578914,0.0014568680067866004,0.12193588937774984,14,1.7935697773750903,0.0013634264973406366,0.014359563469270534,9.344150944596381e-05,2.8293427232038235,0.0022188865353611224,-0.0014395181273288787
new_20bar_high,is_outside_day,SPY,5m,15057,1530,13527,3.293804436413409,0.00032166487901724445,4.606455755339796,0.0017752011421065961,0.13529411764705881,65,1.96900789812848,0.00020145120235177426,0.15509721298144452,0.0015737499397548219,2.6374478572113156,0.002914783281788254,-0.0026754266253454654
new_20bar_high,above_prior_day_high,SPY,5m,15057,4411,10646,3.293804436413409,0.00032166487901724445,4.529784268698584,0.00017348056687727906,0.48877805486284287,10,3.881875389864236,0.000502418212096597,0.14512492955100506,-0.000328937645219318,0.6479088788343477,0.002591347206486903,-0.0026127700339366247
new_20bar_high,gap_above_prior_day_range,SPY,5m,15057,4411,10646,3.293804436413409,0.00032166487901724445,4.529784268698584,0.00017348056687727906,0.48877805486284287,10,3.881875389864236,0.000502418212096597,0.14512492955100506,-0.000328937645219318,0.6479088788343477,0.002591347206486903,-0.0026127700339366247
new_50bar_high,is_outside_day,SPY,5m,10037,986,9051,4.118933260238405,0.0003160627760304763,4.516131745554795,0.0015839643436493557,0.1926977687626775,58,4.916892844671139,0.00021416576600986575,0.41221964423820573,0.00136979857763949,-0.4007610991163437,0.0028961401214853888,-0.0025429385862515783
new_20bar_high,is_outside_day,SPY,15m,5475,523,4952,3.135265648475985,0.0003336458843057559,4.470141287711255,0.0013693105469798734,0.2887189292543021,15,2.0592211246393504,0.0002501515648800051,0.24495153473344103,0.0011191589820998683,2.4109201630719044,0.002583589597307301,-0.0020620852543497227
new_20bar_high,is_nr7,SPY,5m,15057,2437,12620,3.293804436413409,0.00032166487901724445,4.446284867856717,0.0007964244636263388,0.22527697989331144,48,2.6786053893994386,0.0002875621239303955,0.1549920760697306,0.0005088623396959434,1.767679478457278,0.0026354815647783194,-0.002370663922331818
new_20bar_high,prior_day_close_near_low,SPY,15m,5475,1066,4409,3.135265648475985,0.0003336458843057559,4.4160150031638405,0.0013217257466583948,0.20919324577861162,17,2.3611558775448303,0.00015851013930813753,0.4000907235200726,0.0011632156073502573,2.0548591256190103,0.003022117785378682,-0.002175568019596539
volume_dryup,is_outside_day,QQQ,15m,5188,499,4689,0.7342371610530002,0.0004932630864082577,4.395930865008335,0.004197209399070404,0.004008016032064128,21,0.6252068334822517,0.00045521508538616984,0.023245894647046277,0.003741994313684234,3.7707240315260835,0.0033475476770056,-0.0032636904299374755
new_20bar_high,prior_day_high_vol_wide_range,SPY,5m,15057,898,14159,3.293804436413409,0.00032166487901724445,4.350775402119172,0.0018776397797272341,0.40311804008908686,29,3.6552881212775468,0.00034598013720733584,0.15580196341549543,0.0015316596425198983,0.6954872808416255,0.0051351205623998974,-0.004898440020923811
cross_above_vwap,is_outside_day,SPY,15m,3362,351,3011,0.8557355841066535,0.000751348669902726,4.32576710436953,0.006069596905211087,0.005698005698005698,25,2.492054220363155,0.0005198136590148656,0.25273995350381934,0.005549783246196221,1.833712884006375,0.003246587884112336,-0.0030115515427848894
5_consecutive_up,prior_day_high_vol_wide_range,SPY,5m,3247,203,3044,4.709580258675017,0.00046032438105890857,4.324012997081346,0.0020201358537350815,0.4433497536945813,28,1.4317905662507635,0.000851010454054492,0.016754270696452037,0.0011691253996805894,2.8922224308305826,0.004509454180530484,-0.004634729275008168
range_expansion_after_contraction,prior_day_close_near_low,SPY,15m,644,153,491,2.311545532566205,0.0011500822509795936,4.260304734677568,0.00371238720482416,0.09803921568627451,21,1.5917907435099545,0.000711154802939785,0.18126272912423624,0.003001232401884375,2.6685139911676137,0.0038670978104118144,-0.002653984161184694
new_50bar_high,gap_above_prior_day_range,SPY,5m,10037,3430,6607,4.118933260238405,0.0003160627760304763,4.2153810061062265,0.0001869450392280205,0.49912536443148686,10,5.1097084679847775,0.000555520365918336,0.2306644467988497,-0.0003685753266903155,-0.894327461878551,0.0027860237433527473,-0.002748107913651037
new_50bar_high,above_prior_day_high,SPY,5m,10037,3430,6607,4.118933260238405,0.0003160627760304763,4.2153810061062265,0.0001869450392280205,0.49912536443148686,10,5.1097084679847775,0.000555520365918336,0.2306644467988497,-0.0003685753266903155,-0.894327461878551,0.0027860237433527473,-0.002748107913651037
prior_bar_wide_range,aligned_daily_weekly_down,SPY,5m,11778,198,11580,3.0023890429517808,0.00036696906276421394,4.185038930007846,0.007304929073452073,0.25252525252525254,68,1.9968042008393159,0.00023657686047637774,0.16899827288428323,0.007068352212975695,2.1882347291685305,0.008164374007911509,-0.0042682967332939485
new_20bar_high,near_52w_high,QQQ,5m,14482,8463,6019,3.213839013173896,0.0005588702560248982,4.1690432900654795,0.0004241767268136842,0.1968569065343259,52,1.9354551849576203,0.0013500948261491725,0.0417012792822728,-0.0009259180993354884,2.2335881051078594,0.002571789176038632,-0.0027094731386358923
volume_dryup,gap_down_large,SPY,5m,11662,423,11239,1.133580189975017,0.00031641877778220307,4.143573076392253,0.0062423942258037785,0.028368794326241134,69,1.1030301238261753,0.00030885414762081884,0.03372186137556722,0.005933540078182959,3.040542952566078,0.005560577543951447,-0.004911687834556113
5_consecutive_up,is_nr7,SPY,5m,3247,537,2710,4.709580258675017,0.00046032438105890857,4.135445427066886,0.004226064941781184,0.0186219739292365,76,4.237405544308633,0.00044333143335400274,0.38265682656826566,0.0037827335084271814,-0.10196011724174703,0.003093112090975497,-0.002713904669032698
