rule,short_name,filter,trades,pnl,wr,avg_pnl,base_avg_pnl,avg_improvement,pct_trades_kept
GapLarge_First30min_SPY,GapLarge,Above SMA200,18,613798.15,72.22222222222221,34099.89722222222,14563.773863636363,19536.123358585857,40.909090909090914
GapLarge_First30min_SPY,GapLarge,RVol20 15-25,20,659170.8499999999,65.0,32958.542499999996,14563.773863636363,18394.76863636363,45.45454545454545
GapLarge_First30min_SPY,GapLarge,Above SMA50,14,408150.94,64.28571428571429,29153.63857142857,14563.773863636363,14589.864707792209,31.818181818181817
GapLarge_First30min_SPY,GapLarge,Low Volume Day,11,309352.46,54.54545454545454,28122.950909090912,14563.773863636363,13559.17704545455,25.0
GapLarge_First30min_SPY,GapLarge,SMA20 > SMA50,17,408956.74,58.82352941176471,24056.27882352941,14563.773863636363,9492.504959893047,38.63636363636363
GapLarge_First30min_SPY,GapLarge,Above SMA20,13,303795.9,61.53846153846154,23368.915384615386,14563.773863636363,8805.141520979023,29.545454545454547
GapLarge_First30min_SPY,GapLarge,RVol20 < 20,24,469087.15,58.333333333333336,19545.297916666666,14563.773863636363,4981.524053030304,54.54545454545454
GapLarge_First30min_SPY,GapLarge,PriorDay < -0.5%,19,345170.8599999999,42.10526315789473,18166.88736842105,14563.773863636363,3603.1135047846856,43.18181818181818
GapLarge_First30min_SPY,GapLarge,20d Mom > +3%,5,83595.28999999998,40.0,16719.057999999997,14563.773863636363,2155.2841363636344,11.363636363636363
GapLarge_First30min_SPY,GapLarge,|PriorDay| < 0.5%,19,309439.17,63.1578947368421,16286.272105263157,14563.773863636363,1722.498241626794,43.18181818181818
GapLarge_First30min_SPY,GapLarge,5d Mom < -1%,27,434782.55999999994,51.85185185185185,16103.057777777776,14563.773863636363,1539.2839141414133,61.36363636363637
GapLarge_First30min_SPY,GapLarge,Below SMA20,31,337010.1500000001,51.61290322580645,10871.295161290325,14563.773863636363,-3692.4787023460376,70.45454545454545
GapLarge_First30min_SPY,GapLarge,10d Mom < -2%,23,242726.88999999996,47.82608695652174,10553.343043478259,14563.773863636363,-4010.4308201581043,52.27272727272727
GapLarge_First30min_SPY,GapLarge,RVol5 < 15,16,166715.83999999997,56.25,10419.739999999998,14563.773863636363,-4144.033863636365,36.36363636363637
GapLarge_First30min_SPY,GapLarge,High Volume Day,13,117782.29999999999,38.46153846153847,9060.176923076922,14563.773863636363,-5503.596940559441,29.545454545454547
